Teacher_ID,Image_ID,Hand_movement,Classroom_zone,situation,Act_Class
1,frame0,1,1,"up,mid",0
1,frame1,1,1,"up,mid",0
1,frame2,1,1,"up,mid",0
1,frame3,1,1,"up,mid",0
1,frame4,1,1,"up,mid",0
1,frame5,1,1,"up,mid",0
1,frame6,0,1,"down,mid",4
1,frame7,0,1,"down,mid",4
1,frame8,0,3,"down,left",6
1,frame9,0,3,"down,left",6
1,frame10,1,3,"up,left",2
1,frame11,1,3,"up,left",2
1,frame12,1,3,"up,left",2
1,frame13,1,3,"up,left",2
1,frame14,1,3,"up,left",2
1,frame15,1,3,"up,left",2
1,frame16,1,3,"up,left",2
1,frame17,1,3,"up,left",2
1,frame18,1,3,"up,left",2
1,frame19,1,3,"up,left",2
1,frame20,1,1,"up,mid",0
1,frame21,1,1,"up,mid",0
1,frame22,1,1,"up,mid",0
1,frame23,1,1,"up,mid",0
1,frame24,1,1,"up,mid",0
1,frame25,1,1,"up,mid",0
1,frame26,1,1,"up,mid",0
1,frame27,1,1,"up,mid",0
1,frame28,1,1,"up,mid",0
1,frame29,0,1,"down,mid",4
1,frame30,0,1,"down,mid",4
1,frame31,1,2,"up,right",1
1,frame32,1,2,"up,right",1
1,frame33,1,2,"up,right",1
1,frame34,1,2,"up,right",1
1,frame35,1,2,"up,right",1
1,frame36,1,1,"up,mid",0
1,frame37,1,1,"up,mid",0
1,frame38,1,1,"up,mid",0
1,frame39,1,1,"up,mid",0
1,frame40,1,1,"up,mid",0
1,frame41,1,1,"up,mid",0
1,frame42,1,1,"up,mid",0
1,frame43,1,1,"up,mid",0
1,frame44,1,1,"up,mid",0
1,frame45,1,1,"up,mid",0
1,frame46,1,1,"up,mid",0
1,frame47,1,1,"up,mid",0
1,frame48,1,1,"up,mid",0
1,frame49,1,1,"up,mid",0
1,frame50,1,1,"up,mid",0
1,frame51,1,1,"up,mid",0
1,frame52,1,1,"up,mid",0
1,frame53,1,1,"up,mid",0
1,frame54,1,1,"up,mid",0
1,frame55,1,1,"up,mid",0
1,frame56,1,1,"up,mid",0
1,frame57,1,1,"up,mid",0
1,frame58,1,1,"up,mid",0
1,frame59,1,1,"up,mid",0
1,frame60,1,1,"up,mid",0
1,frame61,1,1,"up,mid",0
1,frame62,1,1,"up,mid",0
1,frame63,1,1,"up,mid",0
1,frame64,1,1,"up,mid",0
1,frame65,1,1,"up,mid",0
1,frame66,1,1,"up,mid",0
1,frame67,1,1,"up,mid",0
1,frame68,1,1,"up,mid",0
1,frame69,1,1,"up,mid",0
1,frame70,1,1,"up,mid",0
1,frame71,1,1,"up,mid",0
1,frame72,1,1,"up,mid",0
1,frame73,1,1,"up,mid",0
1,frame74,1,1,"up,mid",0
1,frame75,1,1,"up,mid",0
1,frame76,1,1,"up,mid",0
